K  N  T_PROPUESTO T_NUESTRO T_BRUTO T_OTRO
500 500 0.207881 0.0159703 0.0514109 0.304329
625 625 0.406274 0.0254248 0.0801115 0.60793
750 750 0.700275 0.0378522 0.128279 1.08893
875 875 1.10696 0.0533486 0.17682 1.77107
1000 1000 1.64693 0.0704151 0.239581 2.68016
1125 1125 2.34315 0.0929775 0.314067 3.82492
1250 1250 3.21495 0.116984 0.400643 5.24214
1375 1375 4.27399 0.138284 0.476551 6.96753
1500 1500 5.55295 0.167937 0.584835 9.0888
1625 1625 7.06164 0.202029 0.702534 11.5749
1750 1750 8.80357 0.231247 0.82271 14.6186
1875 1875 10.8341 0.27033 0.952041 18.2712
2000 2000 13.1385 0.31471 1.10278 22.7085
2125 2125 15.7765 0.363503 1.2669 27.7208
2250 2250 18.7178 0.409925 1.43885 33.3666
2375 2375 22.0111 0.460919 1.61774 40.2895
2500 2500 25.6464 0.50091 1.82187 47.5592
2625 2625 29.6647 0.559244 2.06628 55.8417
2750 2750 34.1195 0.609098 2.27387 64.856
2875 2875 38.9549 0.672083 2.59709 73.7557
3000 3000 52.6596 0.744992 2.76404 85.3979
3125 3125 59.6758 0.821966 3.1106 97.1103
3250 3250 67.0359 0.886234 3.34657 108.544
3375 3375 75.182 0.95767 3.63199 124.937
3500 3500 84.0434 1.03245 3.9321 140.512


500 2000 0.831262 0.0640456 0.244515 1.2616
625 2000 1.29708 0.0820081 0.309838 2.01134
750 2000 1.86077 0.101156 0.374861 2.97344
875 2000 2.52784 0.121831 0.439402 4.09526
1000 2000 3.29976 0.139579 0.509175 5.37457
1125 2000 4.17118 0.165752 0.579501 6.79569
1250 2000 5.14666 0.18594 0.645956 8.39978
1375 2000 6.24155 0.20147 0.735695 10.4204
1500 2000 7.41281 0.224031 0.807084 12.1014
1625 2000 8.69445 0.249103 0.895027 14.3678
1750 2000 10.0847 0.263708 0.95461 16.7886
1875 2000 11.5506 0.288372 1.02897 19.5761
2000 2000 13.1732 0.317237 1.11094 22.6719
2125 2000 14.8372 0.342015 1.19498 26.0393
2250 2000 16.6326 0.36404 1.25926 29.7413
2375 2000 18.529 0.388625 1.33624 33.7073
2500 2000 20.5309 0.403478 1.43017 37.3621
2625 2000 22.6133 0.427434 1.51037 42.2525
2750 2000 24.7837 0.4517 1.59344 46.5801
2875 2000 27.1218 0.464001 1.69155 51.277
3000 2000 29.5264 0.492122 1.75202 56.1524
3125 2000 32.0221 0.525238 1.84159 61.0555
3250 2000 34.6316 0.534127 1.90372 66.2086
3375 2000 37.3179 0.560887 1.99818 71.4187
3500 2000 40.1296 0.590186 2.11181 77.0855


2000 500 3.28225 0.0786893 0.243032 5.13203
2000 625 4.09975 0.0983519 0.317688 6.46973
2000 750 4.9376 0.118207 0.383179 7.84624
2000 875 5.74333 0.137714 0.453169 9.2753
2000 1000 6.5767 0.157817 0.512727 11.0929
2000 1125 7.40135 0.177694 0.589975 12.584
2000 1250 8.22783 0.198375 0.66465 14.03
2000 1375 9.04397 0.216675 0.73015 15.2281
2000 1500 9.87366 0.236076 0.804846 16.5951
2000 1625 10.6853 0.255586 0.881214 18.1129
2000 1750 11.5168 0.275571 0.983569 19.6342
2000 1875 12.3328 0.295753 1.02743 20.9902
2000 2000 13.1368 0.314058 1.10433 22.6836
2000 2125 13.9644 0.334066 1.18673 24.3464
2000 2250 14.8894 0.358183 1.26423 25.5541
2000 2375 15.6299 0.373655 1.34872 27.1511
2000 2500 16.45 0.393418 1.41777 28.8717
2000 2625 17.2817 0.412721 1.49798 29.8176
2000 2750 18.1163 0.433274 1.58548 33.0405
2000 2875 18.8995 0.452325 1.65217 32.5253
2000 3000 19.7424 0.462391 1.73057 33.9847
2000 3125 20.559 0.481826 1.80581 35.2496
2000 3250 21.3803 0.500533 1.95655 38.0917
2000 3375 22.184 0.534341 1.97589 38.5274
2000 3500 23.0049 0.551457 2.07947 39.8732
